NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
New Brunswick,40.4896492,-74.4408766,12.5,1/1/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/2/2011,0.03
New Brunswick,40.4896492,-74.4408766,12.5,1/3/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/4/2011,0.01
New Brunswick,40.4896492,-74.4408766,12.5,1/5/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/6/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/7/2011,0.01
New Brunswick,40.4896492,-74.4408766,12.5,1/8/2011,0.07
New Brunswick,40.4896492,-74.4408766,12.5,1/9/2011,0.05
New Brunswick,40.4896492,-74.4408766,12.5,1/10/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/11/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/12/2011,0.42
New Brunswick,40.4896492,-74.4408766,12.5,1/13/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/14/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/15/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/16/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/17/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/18/2011,0.52
New Brunswick,40.4896492,-74.4408766,12.5,1/19/2011,0.45
New Brunswick,40.4896492,-74.4408766,12.5,1/21/2011,0.42
New Brunswick,40.4896492,-74.4408766,12.5,1/22/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/23/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/24/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/25/2011,0.01
New Brunswick,40.4896492,-74.4408766,12.5,1/26/2011,0.04
New Brunswick,40.4896492,-74.4408766,12.5,1/27/2011,1.65
New Brunswick,40.4896492,-74.4408766,12.5,1/28/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/29/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/30/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,1/31/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/1/2011,0.03
New Brunswick,40.4896492,-74.4408766,12.5,2/3/2011,0.06
New Brunswick,40.4896492,-74.4408766,12.5,2/4/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/6/2011,0.24
New Brunswick,40.4896492,-74.4408766,12.5,2/7/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/8/2011,0.12
New Brunswick,40.4896492,-74.4408766,12.5,2/12/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/13/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/14/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/15/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/16/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/17/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/18/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/19/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/21/2011,0.05
New Brunswick,40.4896492,-74.4408766,12.5,2/23/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/24/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,2/25/2011,0.76
New Brunswick,40.4896492,-74.4408766,12.5,2/26/2011,0.42
New Brunswick,40.4896492,-74.4408766,12.5,3/1/2011,0.1
New Brunswick,40.4896492,-74.4408766,12.5,3/2/2011,0
New Brunswick,40.4896492,-74.4408766,12.5,3/3/2011,0
