zipcode,city,county,flood_zone,Latitude,Longitude
08901,New Brunswick,Middlesex,A,40.486032,-74.431019
08904,Highland park,Middlesex,AE,40.493327,-74.433816
08876,Somerville,Somerset,AE,40.557521,-74.615401
08805,Bound Brook,Somerset,X,40.560781,-74.533911
08807,Bridgewater,Somerset,0,40.546422,-74.670573
08835,Manville,Somerset,0,40.549499,-74.589291
08854,Piscataway,Middlesex,0,40.535541,-74.493968
08872,Sayreville,Middlesex,0,40.469951,-74.361227
08817,Edison,Middlesex,0,40.496208,-74.396884
08861,Perth Amboy,Middlesex,0,40.509574,-74.280087
08880,South Bound Brook,Somerset,0,40.568605,-74.523777
