Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1893,2.61 ,5.73 ,3.22 ,5.61 ,3.95 ,3.28 ,2.31 ,10.70 ,3.31 ,3.61 ,3.91 ,Mo,Ma
1894,2.22 ,3.99 ,1.59 ,3.41 ,6.57 ,2.25 ,2.50 ,1.96 ,10.85 ,5.36 ,3.55 ,3.86 ,48.11 
1895,5.44 ,0.97 ,Mn,4.61 ,2.82 ,2.79 ,4.26 ,4.50 ,Mu,3.90 ,3.41 ,2.68 ,Mb
1896,,,,,,,,,,,,,
1897,,,,,,,,,,,,,
1898,,,,,,,,,,,,,
1899,Mt,Mm,Mn,Mw,Mq,Mw,6.32a,3.45 ,7.80 ,2.96 ,4.23 ,Mz,Mg
1900,2.01b,5.46 ,3.40 ,2.38 ,5.58 ,2.64 ,6.94 ,1.50b,0.54b,3.53 ,4.27 ,2.37 ,40.62 
1901,2.11 ,0.76 ,5.19 ,7.39 ,5.01 ,0.81 ,9.12 ,8.90 ,1.86 ,1.89 ,2.21 ,7.20 ,52.45 
1902,2.70 ,6.46 ,3.79 ,3.09 ,1.51 ,6.08 ,3.42 ,6.29 ,5.25 ,7.76 ,1.58 ,6.83 ,54.76 
1903,3.84 ,4.61 ,4.74 ,4.57 ,0.29 ,7.35 ,5.07 ,5.97 ,3.69 ,7.18 ,1.21 ,3.53 ,52.05 
1904,3.11 ,2.52 ,3.07 ,3.49 ,2.79 ,2.50 ,7.99 ,13.01 ,Mu,Mx,Mv,Mo,Md
1905,,,,,,,,,,,,,
1906,,,,,,,,,,,,,
1907,,,,,,,,,,,,,
1908,,,,,,,,,,,,,
1909,,,,,,,,,,,,,
1910,,,,,,,,,,,,,
1911,,,,,,,,,,,,,
1912,2.73 ,2.95 ,9.06 ,4.11a,5.57 ,2.03 ,2.61 ,3.46 ,3.45 ,3.03 ,4.00 ,5.00 ,48.00 
1913,3.10 ,2.39 ,4.88a,5.33 ,3.39 ,1.35 ,3.62 ,2.23 ,3.08 ,7.37 ,2.20 ,3.21 ,42.15 
1914,4.82 ,2.52a,3.31 ,3.00 ,3.65 ,2.32 ,5.23a,1.88 ,0.41 ,1.61 ,2.87 ,4.97 ,36.59 
1915,6.03 ,5.81 ,0.75 ,2.75 ,3.68a,2.66 ,5.96 ,10.03a,2.06 ,1.84a,1.61 ,4.16 ,47.34 
1916,1.48 ,4.42 ,3.12 ,3.49a,2.75a,3.39 ,6.96 ,2.61 ,2.53 ,1.38 ,1.95 ,5.24 ,39.32 
1917,2.57a,1.42a,3.87 ,2.49 ,3.87 ,3.62 ,6.90a,0.76a,3.63 ,7.34 ,0.54 ,2.13a,39.14 
1918,2.72b,2.69 ,1.58a,3.11 ,5.09b,4.34 ,4.54 ,2.55 ,3.15a,1.30 ,2.15a,3.34a,36.56 
1919,2.96a,3.60 ,5.64a,2.73 ,4.42b,5.31 ,8.33 ,6.30 ,2.01 ,3.13 ,3.72 ,2.67 ,50.82 
1920,2.64 ,3.95 ,3.56 ,4.28 ,3.56 ,9.22a,6.00 ,7.83a,2.23 ,2.35 ,3.81a,5.02 ,54.45 
