Zip,City,County,Year,Q1_avg_homeprice,Q2_avg_homeprice,Q3_avg_homeprice,Q4_avg_homeprice,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
07030,Hoboken,Hudson County,2021,727520.0,727778.3333333334,746110.6666666666,745773.0,723597.0,749486.0,745995.0,729251.0,728266.0,741729.0,734759.0,725043.0,724979.0,744986.0,746338.0,747117.0
08701,Lakewood Township,Ocean County,2021,393416.6666666667,421827.3333333333,458537.0,484051.6666666667,409735.0,459463.0,490099.0,393127.0,387174.0,447990.0,435089.0,399949.0,420658.0,484454.0,477602.0,468158.0
07302,Jersey City,Hudson County,2021,796599.3333333334,799803.3333333334,814475.0,810401.3333333334,796351.0,817980.0,810357.0,797549.0,794881.0,812394.0,805822.0,797368.0,797237.0,809523.0,811324.0,813051.0
08753,Toms River,Ocean County,2021,314477.0,351892.3333333333,389474.0,406164.6666666667,335735.0,390684.0,409384.0,314065.0,307811.0,380875.0,369303.0,321555.0,350639.0,406570.0,402540.0,396863.0
07002,Bayonne,Hudson County,2021,436341.6666666667,446857.3333333333,466442.3333333333,474905.0,442018.0,468545.0,477434.0,437268.0,431577.0,460951.0,453195.0,440180.0,445359.0,474605.0,472676.0,469831.0
07093,West New York,Hudson County,2021,385572.3333333333,379368.3333333333,378123.3333333333,377749.6666666667,383208.0,380140.0,378467.0,386944.0,383686.0,376383.0,377415.0,386087.0,377482.0,376894.0,377888.0,377847.0
08831,Monroe Township,Middlesex County,2021,417430.6666666667,432492.0,450893.0,462753.6666666667,425786.0,451030.0,466084.0,417166.0,414794.0,445503.0,438535.0,420332.0,433155.0,462435.0,459742.0,456146.0
07087,Union City,Hudson County,2021,436425.3333333333,438485.3333333333,447179.3333333333,449555.0,436612.0,448948.0,450903.0,437394.0,435808.0,444810.0,441800.0,436074.0,437044.0,448996.0,448766.0,447780.0
08759,Manchester Township,Ocean County,2021,210195.66666666666,226759.33333333334,247944.0,260661.33333333334,219901.0,248614.0,264046.0,210070.0,206039.0,242106.0,234237.0,214478.0,226140.0,260755.0,257183.0,253112.0
07305,Jersey City,Hudson County,2021,419156.0,422212.0,434167.3333333333,434534.0,419759.0,436179.0,435731.0,420331.0,416278.0,432241.0,426605.0,420859.0,420272.0,433947.0,433924.0,434082.0
07047,North Bergen Township,Hudson County,2021,489697.3333333333,494058.3333333333,506412.0,510050.3333333333,490937.0,508183.0,512022.0,490595.0,487230.0,503231.0,498445.0,491267.0,492793.0,509347.0,508782.0,507822.0
08873,Franklin Township,Somerset County,2021,385837.6666666667,395698.6666666667,413790.3333333333,423097.3333333333,391199.0,415130.0,427495.0,386245.0,382975.0,408929.0,401086.0,388293.0,394811.0,422076.0,419721.0,417312.0
08527,Jackson Township,Ocean County,2021,401161.6666666667,430409.6666666667,465937.3333333333,487208.0,419141.0,467164.0,491946.0,400571.0,393997.0,455658.0,442827.0,408917.0,429261.0,487671.0,482007.0,474990.0
07306,Jersey City,Hudson County,2021,492304.6666666667,492669.0,504642.0,507130.6666666667,490244.0,506417.0,508712.0,493391.0,492511.0,501886.0,496745.0,491012.0,491018.0,506491.0,506189.0,505623.0
07728,Freehold,Monmouth County,2021,428607.6666666667,447730.6666666667,472264.3333333333,487866.6666666667,439406.0,472246.0,491752.0,428830.0,423020.0,466542.0,456618.0,433973.0,447168.0,488569.0,483279.0,478005.0
07055,Passaic,Passaic County,2021,396954.0,409191.6666666667,423675.0,440744.0,404523.0,423277.0,445995.0,396969.0,394899.0,417888.0,414004.0,398994.0,409048.0,441098.0,435139.0,429860.0
07111,Irvington,Essex County,2021,262467.6666666667,274223.6666666667,287733.3333333333,296911.6666666667,270808.0,287735.0,297422.0,262973.0,258243.0,282836.0,278206.0,266187.0,273657.0,297612.0,295701.0,292629.0
07003,Bloomfield,Essex County,2021,430699.0,440351.3333333333,459570.0,472588.6666666667,436231.0,459787.0,473943.0,431647.0,426818.0,452413.0,445272.0,433632.0,439551.0,473002.0,470821.0,466510.0
08021,Clementon,Camden County,2021,172177.0,181123.66666666666,193011.0,205822.33333333334,178060.0,192962.0,209393.0,172224.0,169294.0,188562.0,184428.0,175013.0,180883.0,206179.0,201895.0,197509.0
07024,Fort Lee,Bergen County,2021,587799.0,595719.0,609822.3333333334,616892.3333333334,592591.0,611376.0,619976.0,588391.0,584921.0,605046.0,600200.0,590085.0,594366.0,616156.0,614545.0,613045.0
07083,Union,Union County,2021,394665.6666666667,407656.0,426457.6666666667,438467.0,401437.0,426727.0,440353.0,394738.0,392329.0,420721.0,414290.0,396930.0,407241.0,438553.0,436495.0,431925.0
08054,Mt Laurel Township,Burlington County,2021,268655.0,279579.0,295180.0,302635.0,274654.0,295826.0,304577.0,268356.0,266247.0,290372.0,284512.0,271362.0,279571.0,302576.0,300752.0,299342.0
07601,Hackensack,Bergen County,2021,356697.6666666667,365610.6666666667,375540.0,383406.0,363248.0,376392.0,385895.0,357114.0,352279.0,371844.0,368580.0,360700.0,365004.0,383238.0,381085.0,378384.0
07470,Wayne,Passaic County,2021,509058.6666666667,523759.3333333333,548490.0,568282.6666666666,518283.0,549132.0,572518.0,508847.0,504775.0,538962.0,530027.0,513554.0,522968.0,568529.0,563801.0,557376.0
08053,Evesham Township,Burlington County,2021,323006.3333333333,335773.3333333333,355126.3333333333,364671.6666666667,330144.0,355985.0,367028.0,322745.0,319825.0,348833.0,341543.0,326449.0,335633.0,364569.0,362418.0,360561.0
08540,Princeton,Mercer County,2021,688972.0,713842.6666666666,746167.6666666666,765316.0,702800.0,746799.0,771152.0,688390.0,684313.0,736690.0,724484.0,694213.0,714244.0,764225.0,760571.0,755014.0
08401,Atlantic City,Atlantic County,2021,135557.66666666666,140965.66666666666,150637.0,155818.0,138332.0,150977.0,156803.0,135868.0,134647.0,146995.0,143713.0,136158.0,140852.0,155398.0,155253.0,153939.0
08854,Piscataway,Middlesex County,2021,390375.6666666667,404512.6666666667,420317.3333333333,428263.3333333333,397987.0,420482.0,431773.0,390364.0,387655.0,416981.0,410631.0,393108.0,404920.0,427940.0,425077.0,423489.0
08081,Sicklerville,Camden County,2021,235740.33333333334,246999.0,262427.6666666667,278862.0,242859.0,262116.0,283237.0,235734.0,232488.0,256727.0,251221.0,238999.0,246917.0,279375.0,273974.0,268440.0
