zipcode,State,CITY,CountyName,SizeRank,eom_date,month,year,avghomeprice_month,price_drop
08901,NJ,New Brunswick,Middlesex County,2082,2000-01-31,1,2000,128969, 
08807,NJ,Bridgewater Township,Somerset County,2481,2000-01-31,1,2000,268975, 
07920,NJ,Bridgewater Township,Somerset County,4533,2000-01-31,1,2000,362307, 
08836,NJ,Bridgewater Township,Somerset County,15436,2000-01-31,1,2000,378086, 
08901,NJ,New Brunswick,Middlesex County,2082,2000-02-29,2,2000,129223, 
08807,NJ,Bridgewater Township,Somerset County,2481,2000-02-29,2,2000,270339, 
07920,NJ,Bridgewater Township,Somerset County,4533,2000-02-29,2,2000,364350, 
08836,NJ,Bridgewater Township,Somerset County,15436,2000-02-29,2,2000,380104, 
08901,NJ,New Brunswick,Middlesex County,2082,2000-03-31,3,2000,129831, 
08807,NJ,Bridgewater Township,Somerset County,2481,2000-03-31,3,2000,271753, 
07920,NJ,Bridgewater Township,Somerset County,4533,2000-03-31,3,2000,366436, 
08836,NJ,Bridgewater Township,Somerset County,15436,2000-03-31,3,2000,382968, 
08901,NJ,New Brunswick,Middlesex County,2082,2000-04-30,4,2000,130929, 
08807,NJ,Bridgewater Township,Somerset County,2481,2000-04-30,4,2000,274505, 
07920,NJ,Bridgewater Township,Somerset County,4533,2000-04-30,4,2000,370595, 
08836,NJ,Bridgewater Township,Somerset County,15436,2000-04-30,4,2000,387524, 
08901,NJ,New Brunswick,Middlesex County,2082,2000-05-31,5,2000,132601, 
08807,NJ,Bridgewater Township,Somerset County,2481,2000-05-31,5,2000,276744, 
07920,NJ,Bridgewater Township,Somerset County,4533,2000-05-31,5,2000,374203, 
08836,NJ,Bridgewater Township,Somerset County,15436,2000-05-31,5,2000,391834, 
08901,NJ,New Brunswick,Middlesex County,2082,2000-06-30,6,2000,134175, 
08807,NJ,Bridgewater Township,Somerset County,2481,2000-06-30,6,2000,279173, 
07920,NJ,Bridgewater Township,Somerset County,4533,2000-06-30,6,2000,377893, 
08836,NJ,Bridgewater Township,Somerset County,15436,2000-06-30,6,2000,395531, 
08901,NJ,New Brunswick,Middlesex County,2082,2000-07-31,7,2000,136076, 
08807,NJ,Bridgewater Township,Somerset County,2481,2000-07-31,7,2000,281656, 
07920,NJ,Bridgewater Township,Somerset County,4533,2000-07-31,7,2000,382111, 
08836,NJ,Bridgewater Township,Somerset County,15436,2000-07-31,7,2000,398590, 
08901,NJ,New Brunswick,Middlesex County,2082,2000-08-31,8,2000,137331, 
08807,NJ,Bridgewater Township,Somerset County,2481,2000-08-31,8,2000,284859, 
07920,NJ,Bridgewater Township,Somerset County,4533,2000-08-31,8,2000,387050, 
08836,NJ,Bridgewater Township,Somerset County,15436,2000-08-31,8,2000,402405, 
08901,NJ,New Brunswick,Middlesex County,2082,2000-09-30,9,2000,139082, 
