Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,City
2013.0,2.75 ,3.08 ,2.72 ,2.34 ,4.36 ,10.04 ,4.92 ,4.53 ,2.22 ,0.60 ,3.05 ,4.87 ,45.48 ,New Brunswick
2014.0,2.86 ,5.19 ,4.51 ,3.19 ,6.90 ,3.93 ,7.15 ,1.88 ,1.23 ,4.13 ,4.59 ,5.34 ,50.90 ,New Brunswick
2015.0,5.02 ,2.57 ,4.65 ,2.23 ,1.44 ,6.13 ,2.70 ,1.21 ,3.00 ,4.30 ,1.59 ,4.67 ,39.51 ,New Brunswick
2016.0,4.92 ,4.32 ,1.60 ,1.30 ,4.56 ,2.35 ,7.15 ,0.84 ,1.70 ,3.06 ,2.80 ,4.17 ,38.77 ,New Brunswick
2017.0,4.60 ,1.51 ,3.53 ,6.29 ,7.32 ,5.36 ,4.08 ,7.63 ,1.78 ,5.20 ,2.10 ,1.94 ,51.34 ,New Brunswick
2018.0,2.16 ,6.67 ,5.53 ,5.03 ,5.85 ,4.96 ,4.30 ,4.18 ,8.82 ,3.20 ,8.72 ,5.81 ,65.23 ,New Brunswick
2019.0,5.10 ,3.46 ,4.38 ,3.96 ,7.15 ,5.45 ,6.30 ,4.58 ,1.52 ,5.18 ,2.13 ,7.20 ,56.41 ,New Brunswick
2020.0,2.01 ,3.08 ,4.54 ,4.20 ,2.33 ,2.91 ,11.39 ,5.72 ,4.61 ,5.66 ,3.47 ,5.21 ,55.13 ,New Brunswick
2021.0,2.21 ,5.64 ,2.86 ,2.49 ,4.17 ,3.38 ,5.01 ,6.27 ,10.01 ,7.37 ,1.00 ,1.45 ,51.86 ,New Brunswick
2022.0,4.56 ,3.66 ,3.42 ,5.37 ,7.43 ,Mv,M ,M ,M ,M ,M ,M ,Mg,New Brunswick
