SOURCE,LOSS_ID,STATENAME,COMMNAME,COMMNO,PROPLOCATR,LASTLOSS,CITY,STATE,ZIPCODE,ZipClean,OCCUPANCY,POST_FIRM,ZONE,Floodplain,PROP_VALUE,BUILDING,CONTENTS,PROPLOSSES,PAID,AVERAGE,AS_OF_DT,DTLOSS01,LossDateClean,BuildPay,ContPay,DamagePCT,Valid_Value,SubDam,County Name
2018,110156,NEW JERSEY,"EGG HARBOR, TOWNSHIP OF",340007,71086,True,PLEASANTVILLE,NJ,082320000,08232,BUSI-NONRES,N,A05,True,787832,1887001.87,296318.28,32,2183320.15,68228.75,01/31/2018,09/19/2017,2017-09-19,68570.58,11052.72,0.0870370586623,True,0,ATLANTIC COUNTY
2018,86025,NEW JERSEY,NEW JERSEY MEADOWLANDS COMMISSION,340570,46092,True,CARLSTADT,NJ,070720000,07072,BUSI-NONRES,N,A04,True,0,0.0,1090005.73,30,1090005.73,36333.52,01/31/2018,05/05/2017,2017-05-05,0.0,39054.94,0.0,True,0,BERGEN COUNTY
2018,66034,NEW JERSEY,"KEARNY, TOWN OF",340224,29188,True,KEARNY,NJ,070324220,07032,NON RESIDNT,Y,C,False,0,42662.87,5254166.43,30,5296829.3,176560.98,01/31/2018,04/15/2007,2007-04-15,0.0,57478.51,0.0,True,0,HUDSON COUNTY
2018,14463,NEW JERSEY,"HAWTHORNE, BOROUGH OF",340400,5117,True,HAWTHORNE,NJ,075063611,07506,NON RESIDNT,N,A03,True,0,27198.54,508112.88,29,535311.42,18459.01,01/31/2018,09/16/1999,1999-09-16,0.0,29425.0,0.0,True,0,PASSAIC COUNTY
2018,11317,NEW JERSEY,"ABSECON, CITY OF",340001,3848,True,ABSECON,NJ,082010000,08201,NON RESIDNT,N,A06,True,1065442,1449882.17,495014.52,29,1944896.69,67065.4,01/31/2018,01/23/2016,2016-01-23,44270.81,54867.82,0.0415515907952,True,0,ATLANTIC COUNTY
2018,85995,NEW JERSEY,"CARLSTADT, BOROUGH OF",340022,46091,True,CARLSTADT,NJ,070720000,07072,OTHR-NONRES,N,C,False,635795,528457.3,0.0,26,528457.3,20325.28,01/31/2018,10/29/2012,2012-10-29,198013.89,0.0,0.311442980835,True,0,BERGEN COUNTY
2018,85885,NEW JERSEY,"ROSELLE, BOROUGH OF",340472,46038,True,ROSELLE,NJ,072030000,07203,NON RESIDNT,N,C,False,10000000,168077.35,2718958.48,24,2887035.83,120293.16,01/31/2018,09/16/1999,1999-09-16,26857.5,55197.0,0.00268575,True,0,UNION COUNTY
2018,28338,NEW JERSEY,"LOWER, TOWNSHIP OF",340153,9647,True,CAPE MAY,NJ,082041798,08204,NON RESIDNT,N,A07,True,7569100,1937975.23,558042.68,24,2496017.91,104000.75,01/31/2018,02/09/2016,2016-02-09,30274.77,0.0,0.00399978465075,True,0,CAPE MAY COUNTY
2018,104536,NEW JERSEY,"HAWTHORNE, BOROUGH OF",340400,64781,True,HAWTHORNE,NJ,075062703,07506,NON RESIDNT,N,AE,True,283966,86704.43,106132.52,24,192836.95,8034.87,01/31/2018,05/06/2014,2014-05-06,1638.76,0.0,0.00577097258122,True,0,PASSAIC COUNTY
2018,20311,NEW JERSEY,"NORTH WILDWOOD, CITY OF",345308,7100,True,NORTH WILDWOOD,NJ,082600000,08260,SINGLE FMLY,N,AE,True,100637,157285.89,109192.06,23,266477.95,11586.0,01/31/2018,01/23/2016,2016-01-23,0.0,1367.14,0.0,True,0,CAPE MAY COUNTY
